"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T18:00:00","55.0","71.1","64.7","85.8","73.9","91.9","83.7","83.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T19:00:00","55.9","71.1","64.8","83.3","73.0","89.1","81.5","81.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T20:00:00","55.9","71.1","64.8","80.3","70.0","87.1","78.9","78.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T21:00:00","57.0","71.1","65.1","78.5","69.1","84.9","77.2","77.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T22:00:00","57.0","72.0","65.2","77.3","69.1","84.0","76.2","76.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-30T23:00:00","57.0","72.0","65.3","75.9","68.0","82.0","75.0","75.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T00:00:00","57.0","71.1","65.3","74.7","66.9","81.0","74.0","74.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T01:00:00","57.0","71.1","65.2","73.4","64.9","80.1","73.0","73.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T02:00:00","57.0","71.1","65.2","72.3","64.9","79.0","72.1","72.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T03:00:00","57.9","71.1","65.2","71.4","64.0","78.1","71.3","71.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T04:00:00","57.9","71.1","65.2","70.7","63.0","77.0","70.6","70.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T05:00:00","57.9","71.1","65.1","70.1","63.0","77.0","70.1","70.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T06:00:00","57.9","71.1","65.3","70.0","63.0","75.9","69.9","69.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T07:00:00","59.0","72.0","66.0","72.0","64.9","78.1","71.9","71.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-31T08:00:00","59.0","72.0","66.1","74.7","66.9","80.1","74.2","74.2"
